"","A1","A2","A3","A1","A2","A3"
"355",1,0,1,0.9172,0.229,0.95
"356",1,1,1,0.9457,0.5998,0.9695
"357",1,1,0,0.5627,0.697,0.2001
"358",1,0,1,0.9367,0.0962,0.9683
"359",1,1,1,0.9713,0.7903,0.984
"360",1,0,1,0.6378,0.405,0.6907
"361",1,1,1,0.9492,0.5273,0.938
"362",1,1,1,0.9762,0.9208,0.9927
"363",1,1,1,0.9548,0.94,0.9359
"364",1,1,0,0.6979,0.6652,0.2504
"365",1,0,1,0.906,0.0165,0.8468
"366",1,1,1,0.989,0.94,0.9945
"367",1,1,1,0.8793,0.5165,0.8167
"368",1,1,1,0.9447,0.9668,0.926
"369",1,0,1,0.9355,0.0754,0.9706
"370",1,1,1,0.9237,0.7392,0.7773
"371",1,1,1,0.9608,0.7009,0.9726
"372",1,0,1,0.5579,0.246,0.6744
"373",1,1,1,0.9784,0.928,0.9938
"374",1,1,1,0.9488,0.9311,0.9248
"375",1,1,1,0.9169,0.9496,0.7935
"376",1,1,1,0.9681,0.8938,0.9919
"377",1,1,0,0.5861,0.6048,0.2199
"378",1,0,1,0.9311,0.0118,0.9685
"379",1,1,1,0.9907,0.9591,0.932
"380",1,1,1,0.9726,0.9069,0.7794
"381",1,0,1,0.6509,0.108,0.8602
"382",1,1,1,0.954,0.963,0.6841
"383",1,0,1,0.9306,0.0054,0.9737
"384",1,1,1,0.9925,0.9455,0.9921
"385",1,0,0,0.5846,0.1191,0.2768
"386",1,0,1,0.9059,0.1756,0.9466
"387",1,0,1,0.7025,0.482,0.5835
"388",0,0,0,0.4533,0.478,0.2721
"389",1,1,1,0.9477,0.513,0.9579
"390",1,1,1,0.9561,0.6654,0.9711
"391",1,1,1,0.9738,0.6359,0.9872
"392",1,0,1,0.9305,0.0138,0.974
"393",1,1,0,0.8076,0.8198,0.4382
"394",1,1,0,0.5088,0.5883,0.4354
"395",1,0,1,0.5443,0.2779,0.7403
"396",1,0,1,0.92,0.1647,0.8432
"397",1,0,1,0.5336,0.1943,0.7041
"398",1,1,1,0.8203,0.9008,0.5833
"399",1,1,1,0.9712,0.843,0.9864
